SKU,QTY,Cost
AMPE7235M,1.0,62.515024
AMPE7263M,1.0,71.01
AMPE7270M,1.0,67.14
AMPE7271M,1.0,56.45
AMPE7272M,1.0,60.89
AMPE7361M,1.0,69.55
AMPFD503,1.0,37.93
AMPFJ455,5.0,6.4033
AMPFO1328/9105SET,1.0,45.17
AMPGL2002,2.0,19.19
AMPHKRAM1,1.0,46.92
AMPK100390,1.0,22.888327
AMPL30001,2.0,40.85
AMPLBAR50,2.0,64.04
AMPLIFTKITRAM25,2.0,55.22
AMPNS113,1.0,47.68
AMPNS155,1.0,46.56
AMPPAGLAD1,1.0,180.42
AMPPARAM1,1.0,172.71
AMPPARAM2,1.0,177.76
AMPRU358,1.0,42.76
AMPSPCHERXJ,2.0,120.44
AMPSPRAM1A,7.0,82.67
AMPSPRAM2,2.0,100.97
AMPSPRAM2A,1.0,120.66
AMPSPRAM2B,2.0,92.43
AMPSPRAM3,2.0,83.49
AMPTCS53,1.0,58.99
AMPTIPM7PCB2L,2.0,80.16
AMPUS427,1.0,13.66
AMPWP409,1.0,54.99
AMS4670116AB,1.0,84.53
ANC11,1.0,3.0
ANC14,10.0,2.32
ANC14C18,4.0,2.53
ANC16,12.0,2.56
ANC17,10.0,2.32
ANC18,7.0,2.32
ANC19,8.0,2.32
ANC20,13.0,2.32
ANC21,11.0,2.32
ANC22,12.0,2.54
ANC24,1.0,2.32
ANC26,7.0,2.85
ANC2619,2.0,5.08
ANC28,23.0,1.69
ANC2903,1.0,27.35
ANC6723,1.0,25.0
ANC6732,1.0,19.51
ANO14C16,3.0,2.66
ANO2436,1.0,6.15
ANO2570,4.0,11.13
ANO2638,1.0,11.26
ANO2828,1.0,18.89
ANO2839,1.0,14.757606
ANO2841,1.0,15.16
ANO2845,2.0,10.21
ANO2849,9.0,1.74
ANO2925,2.0,20.14
ANO2926,2.0,27.35
ANO2927,6.0,9.24
ANO2929,2.0,21.67
ANO2948,15.0,8.9965
ANO2949,16.0,10.31
ANO3007,1.0,28.98
ANO3049,3.0,27.34
ANO3145,3.0,24.22
ANO3155,2.0,31.89
ANO3178,1.0,20.84
ANO3186,3.0,27.34
ANO3186A,3.0,27.96
ANO3217,1.0,20.93
ANO3257,2.0,38.04
ANO3262,1.0,28.75
ANO3297,1.0,32.24
ANO3298,1.0,26.0
ANO3304,3.0,48.6
ANO6076,1.0,38.5182
ANO705907,2.0,16.94
ANO9501,1.0,25.17
ANOEM2615,1.0,5.69
